activity_description,label,duration_minutes,user_id
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,36,75
Coding a personal project,Utilizing Time for Knowledge Development,35,72
Playing a video game,Wasting Time,75,54
Taking notes from a lecture video,Wasting Time,99,33
Checking email,Utilizing Time for Knowledge Development,114,42
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,93,36
Coding a personal project,Wasting Time,114,11
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,95,43
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,109,23
Reviewing course lecture slides,Utilizing Time for Knowledge Development,108,64
Coding a personal project,Utilizing Time for Knowledge Development,117,98
Online shopping,Utilizing Time for Knowledge Development,25,46
Watching TV shows,Utilizing Time for Knowledge Development,35,88
Chatting with friends on messaging apps,Wasting Time,89,94
Checking email,Utilizing Time for Knowledge Development,75,98
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,91,48
Checking email,Wasting Time,64,22
Playing a video game,Utilizing Time for Knowledge Development,7,34
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,71,85
Participating in a group discussion on the course forum,Wasting Time,32,3
Solving programming exercises,Wasting Time,104,11
Listening to an audiobook on a relevant topic,Wasting Time,8,71
Reviewing course lecture slides,Wasting Time,21,84
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,113,39
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,106,85
Checking email,Utilizing Time for Knowledge Development,98,45
Participating in an online quiz,Wasting Time,30,64
Watching TV shows,Utilizing Time for Knowledge Development,51,59
Taking notes from a lecture video,Utilizing Time for Knowledge Development,63,45
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,79,28
Reviewing course lecture slides,Utilizing Time for Knowledge Development,27,66
Watching Khan Academy math tutorial,Wasting Time,19,14
Watching TV shows,Utilizing Time for Knowledge Development,65,80
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,10,82
Coding a personal project,Utilizing Time for Knowledge Development,56,16
Reviewing course lecture slides,Wasting Time,76,60
Playing online crossword puzzles,Utilizing Time for Knowledge Development,78,49
Browsing Wikipedia for history facts,Wasting Time,72,64
Participating in an online quiz,Utilizing Time for Knowledge Development,56,77
Watching cat videos on YouTube,Wasting Time,99,93
Reviewing course lecture slides,Wasting Time,117,18
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,7,28
Playing online crossword puzzles,Utilizing Time for Knowledge Development,109,89
Taking notes from a lecture video,Utilizing Time for Knowledge Development,70,100
Checking email,Utilizing Time for Knowledge Development,49,26
Playing online crossword puzzles,Utilizing Time for Knowledge Development,99,2
Chatting with friends on messaging apps,Wasting Time,29,98
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,80,98
Playing online crossword puzzles,Utilizing Time for Knowledge Development,22,59
Watching TV shows,Wasting Time,42,94
Scrolling through social media feeds,Wasting Time,105,27
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,100,12
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,97,81
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,74,2
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,76,19
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,115,56
Coding a personal project,Wasting Time,72,67
Scrolling through social media feeds,Wasting Time,63,60
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,43,94
Taking notes from a lecture video,Utilizing Time for Knowledge Development,65,52
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,54,55
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,43,71
Taking notes from a lecture video,Utilizing Time for Knowledge Development,69,52
Playing online crossword puzzles,Utilizing Time for Knowledge Development,26,83
Reviewing course lecture slides,Utilizing Time for Knowledge Development,15,13
Watching Khan Academy math tutorial,Wasting Time,26,76
Scrolling through social media feeds,Utilizing Time for Knowledge Development,28,86
Checking email,Utilizing Time for Knowledge Development,80,98
Watching Khan Academy math tutorial,Wasting Time,112,27
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,9,68
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,49,73
Reviewing course lecture slides,Wasting Time,118,42
Scrolling through social media feeds,Utilizing Time for Knowledge Development,50,17
Coding a personal project,Utilizing Time for Knowledge Development,38,31
Reviewing course lecture slides,Wasting Time,119,48
Playing online crossword puzzles,Wasting Time,107,87
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,9,18
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,18,14
Checking email,Wasting Time,82,91
Checking email,Wasting Time,48,28
Watching TV shows,Utilizing Time for Knowledge Development,110,28
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,108,4
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,39,54
Watching TV shows,Utilizing Time for Knowledge Development,16,9
Playing a video game,Utilizing Time for Knowledge Development,86,85
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,27,43
Listening to an audiobook on a relevant topic,Wasting Time,9,78
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,68,97
Participating in a group discussion on the course forum,Wasting Time,90,44
Playing a video game,Utilizing Time for Knowledge Development,91,85
Watching Khan Academy math tutorial,Wasting Time,37,35
Reviewing course lecture slides,Utilizing Time for Knowledge Development,26,25
Online shopping,Utilizing Time for Knowledge Development,66,74
Reading a scientific research paper,Wasting Time,5,93
Checking email,Wasting Time,7,36
Reviewing course lecture slides,Utilizing Time for Knowledge Development,95,53
Playing a video game,Wasting Time,84,19
Chatting with friends on messaging apps,Wasting Time,103,54
Coding a personal project,Wasting Time,11,35
Reviewing course lecture slides,Wasting Time,30,77
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,115,1
Watching cat videos on YouTube,Wasting Time,104,17
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,89,83
Playing online crossword puzzles,Utilizing Time for Knowledge Development,104,52
Checking email,Utilizing Time for Knowledge Development,37,28
Participating in an online quiz,Wasting Time,14,66
Playing a video game,Utilizing Time for Knowledge Development,42,47
Online shopping,Utilizing Time for Knowledge Development,111,73
Listening to an audiobook on a relevant topic,Wasting Time,78,76
Participating in an online quiz,Utilizing Time for Knowledge Development,92,63
Watching TV shows,Utilizing Time for Knowledge Development,73,46
Checking email,Wasting Time,9,19
Checking email,Utilizing Time for Knowledge Development,14,77
Taking notes from a lecture video,Utilizing Time for Knowledge Development,29,90
Reading a scientific research paper,Wasting Time,93,3
Participating in an online quiz,Wasting Time,49,50
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,42,50
Coding a personal project,Utilizing Time for Knowledge Development,89,64
Playing online crossword puzzles,Utilizing Time for Knowledge Development,60,39
Solving programming exercises,Wasting Time,49,41
Playing a video game,Utilizing Time for Knowledge Development,72,81
Checking email,Utilizing Time for Knowledge Development,62,76
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,42,4
Online shopping,Wasting Time,116,46
Watching TV shows,Utilizing Time for Knowledge Development,26,86
Scrolling through social media feeds,Utilizing Time for Knowledge Development,54,78
Watching cat videos on YouTube,Wasting Time,17,26
Solving programming exercises,Utilizing Time for Knowledge Development,95,78
Scrolling through social media feeds,Wasting Time,39,69
Watching cat videos on YouTube,Wasting Time,9,75
Reading a scientific research paper,Utilizing Time for Knowledge Development,92,85
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,67,5
Coding a personal project,Wasting Time,27,36
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,7,73
Checking email,Utilizing Time for Knowledge Development,82,21
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,8,41
Writing an essay for a class assignment,Wasting Time,65,18
Checking email,Utilizing Time for Knowledge Development,111,75
Watching Khan Academy math tutorial,Wasting Time,21,79
Watching TV shows,Utilizing Time for Knowledge Development,83,39
Watching cat videos on YouTube,Wasting Time,10,70
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,33,29
Coding a personal project,Utilizing Time for Knowledge Development,28,76
Taking notes from a lecture video,Wasting Time,57,24
Playing online crossword puzzles,Utilizing Time for Knowledge Development,91,20
Reading a scientific research paper,Utilizing Time for Knowledge Development,43,97
Online shopping,Utilizing Time for Knowledge Development,85,70
Writing an essay for a class assignment,Wasting Time,56,11
Scrolling through social media feeds,Utilizing Time for Knowledge Development,100,21
Listening to an audiobook on a relevant topic,Wasting Time,18,96
